"moth","wb","trial","lax_count","lba_count","lsa_count","ldvm_count","ldlm_count","rdlm_count","rdvm_count","rsa_count","rba_count","rax_count","lax1","lax2","lax3","lax4","lba1","lba2","lba3","lba4","lba5","lsa1","lsa2","lsa3","lsa4","ldvm1","ldvm2","ldvm3","ldvm4","ldlm1","ldlm2","rdlm1","rdlm2","rdvm1","rdvm2","rdvm3","rsa1","rsa2","rsa3","rsa4","rba1","rba2","rba3","rba4","rax1","rax2","rax3","rax4"
"2024_11_01",1071,"pre",1,1,1,2,2,1,1,1,1,1,0.26666666666666666,NA,NA,NA,-0.13793323139653413,NA,NA,NA,NA,0.5264367816091954,NA,NA,NA,-0.19770429833503234,0.36091954022988504,NA,NA,-0.032184420659191276,0.432183908045977,0.3218390804597701,NA,-0.2574753652735304,NA,NA,0.7655172413793103,NA,NA,NA,0.016091954022988506,NA,NA,NA,0.016091954022988506,NA,NA,NA
"2024_11_01",1073,"pre",1,0,1,0,1,1,0,1,1,1,0.2222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.5342789598108747,NA,NA,NA,NA,NA,NA,NA,0.40425531914893614,NA,0.3333333333333333,NA,NA,NA,NA,0.7706855791962175,NA,NA,NA,0.028368794326241134,NA,NA,NA,0.028368794326241134,NA,NA,NA
"2024_11_01",1074,"pre",1,0,1,1,1,1,1,1,0,0,0.5480093676814989,NA,NA,NA,NA,NA,NA,NA,NA,0.5433255269320844,NA,NA,NA,-0.21780340690660827,NA,NA,NA,0.4379391100702576,NA,0.3442622950819672,NA,-0.25995890501756486,NA,NA,0.8688524590163934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1075,"pre",1,0,1,2,1,1,1,1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.5460674157303371,NA,NA,NA,-0.17979227271295198,0.3775280898876405,NA,NA,0.451685393258427,NA,0.3438202247191011,NA,-0.19777149998424712,NA,NA,0.7887640449438202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1079,"pre",1,0,1,1,1,1,1,1,1,1,0.6123853211009175,NA,NA,NA,NA,NA,NA,NA,NA,0.5229357798165137,NA,NA,NA,-0.18119649970336466,NA,NA,NA,0.4334862385321101,NA,0.3394495412844037,NA,-0.2385371641664547,NA,NA,0.7935779816513762,NA,NA,NA,-0.2912905754724977,NA,NA,NA,0.676605504587156,NA,NA,NA
"2024_11_01",1080,"pre",2,1,1,2,1,1,1,1,1,1,0.31473214285714285,0.7165178571428571,NA,NA,0.4174107142857143,NA,NA,NA,NA,0.49776785714285715,NA,NA,NA,-0.18081465437976346,0.359375,NA,NA,0.42857142857142855,NA,0.328125,NA,-0.22546024805377907,NA,NA,0.7232142857142857,NA,NA,NA,-0.3147514354018104,NA,NA,NA,0.6696428571428571,NA,NA,NA
"2024_11_01",1082,"pre",1,0,1,2,1,1,1,1,1,1,0.28837209302325584,NA,NA,NA,NA,NA,NA,NA,NA,0.49534883720930234,NA,NA,NA,-0.2232475165518962,0.3302325581395349,NA,NA,0.413953488372093,NA,0.3116279069767442,NA,-0.26510642590537675,NA,NA,0.7558139534883721,NA,NA,NA,-0.3790556791454072,NA,NA,NA,0.6,NA,NA,NA
"2024_11_01",1083,"pre",1,1,1,2,1,1,1,1,1,1,0.27954545454545454,NA,NA,NA,-0.17955492274429152,NA,NA,NA,NA,0.5022727272727273,NA,NA,NA,-0.19546485260770965,0.3522727272727273,NA,NA,0.42272727272727273,NA,0.32272727272727275,NA,-0.2477403364446554,NA,NA,0.7340909090909091,NA,NA,NA,-0.39092970521541953,NA,NA,NA,0.6772727272727272,NA,NA,NA
"2024_11_01",1084,"pre",2,0,1,2,1,1,1,1,1,1,0.24537037037037038,0.5671296296296297,NA,NA,NA,NA,NA,NA,NA,0.5023148148148148,NA,NA,NA,-0.20600986773042204,0.3541666666666667,NA,NA,0.42824074074074076,NA,0.3287037037037037,NA,-0.2731366785639303,NA,NA,0.7615740740740741,NA,NA,NA,-0.3286899013226958,NA,NA,NA,0.7152777777777778,NA,NA,NA
"2024_11_01",1085,"pre",1,1,1,1,1,1,1,1,1,1,0.2634032634032634,NA,NA,NA,-0.13519595176571933,NA,NA,NA,NA,0.5198135198135199,NA,NA,NA,-0.20745585701981056,NA,NA,NA,0.40792540792540793,NA,0.31002331002331,NA,-0.25174418604651166,NA,NA,0.7365967365967366,NA,NA,NA,-0.2867086563307493,NA,NA,NA,0.662004662004662,NA,NA,NA
"2024_11_01",1086,"pre",1,1,1,1,2,1,1,1,1,0,0.27423167848699764,NA,NA,NA,0.3971631205673759,NA,NA,NA,NA,0.5130023640661938,NA,NA,NA,-0.23403483309143688,NA,NA,NA,-0.14420328099573373,0.42789598108747046,0.3262411347517731,NA,-0.27658662092624353,NA,NA,0.7706855791962175,NA,NA,NA,-0.3427782908914984,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1087,"pre",2,0,1,1,2,1,1,1,0,1,0.24186046511627907,0.5,NA,NA,NA,NA,NA,NA,NA,0.5209302325581395,NA,NA,NA,-0.19768200841410102,NA,NA,NA,0.023255813953488372,0.42790697674418604,0.3325581395348837,NA,-0.22791572734802237,NA,NA,0.7581395348837209,NA,NA,NA,NA,NA,NA,NA,0.6976744186046512,NA,NA,NA
"2024_11_01",1088,"pre",1,0,1,1,1,1,1,1,1,1,0.28054298642533937,NA,NA,NA,NA,NA,NA,NA,NA,0.5158371040723982,NA,NA,NA,-0.19231980681400593,NA,NA,NA,0.4343891402714932,NA,0.332579185520362,NA,-0.24435928395191356,NA,NA,0.7714932126696833,NA,NA,NA,-0.29187358916478556,NA,NA,NA,0.6583710407239819,NA,NA,NA
"2024_11_01",1096,"pre",1,1,1,1,1,1,1,1,1,1,0.28378378378378377,NA,NA,NA,-0.17117378786720683,NA,NA,NA,NA,0.4954954954954955,NA,NA,NA,-0.18693979464444954,NA,NA,NA,0.42342342342342343,NA,0.32432432432432434,NA,-0.22297638156386154,NA,NA,0.7207207207207207,NA,NA,NA,-0.29054498203775897,NA,NA,NA,0.704954954954955,NA,NA,NA
"2024_11_01",1097,"pre",1,0,1,1,2,1,1,1,1,1,0.26018099547511314,NA,NA,NA,NA,NA,NA,NA,NA,0.49547511312217196,NA,NA,NA,-0.20814267992597565,NA,NA,NA,-0.13574522603867978,0.40271493212669685,0.2986425339366516,NA,-0.25339108860553555,NA,NA,0.7398190045248869,NA,NA,NA,-0.2963770768511174,NA,NA,NA,0.5995475113122172,NA,NA,NA
"2024_11_01",1099,"pre",1,0,1,0,1,1,0,1,0,1,0.25740318906605925,NA,NA,NA,NA,NA,NA,NA,NA,0.5034168564920274,NA,NA,NA,NA,NA,NA,NA,0.4054669703872437,NA,0.30751708428246016,NA,NA,NA,NA,0.7357630979498861,NA,NA,NA,NA,NA,NA,NA,0.6788154897494305,NA,NA,NA
