moth,wb,trial,lax_count,lba_count,lsa_count,ldvm_count,ldlm_count,rdlm_count,rdvm_count,rsa_count,rba_count,rax_count,lax1,lba1,lsa1,ldvm1,ldlm1,rdlm1,rdvm1,rsa1,rba1,rax1
2024_11_01,1976,1,3,1,2,2,1,1,1,1,1,1,0.2413793103448276,0.2561576354679803,0.2783251231527093,-0.1995261944111049,0.2807881773399014,0.2733990147783251,-0.2241590579186487,0.7931034482758621,0.3891625615763547,0.3891625615763547
2024_11_01,1977,1,3,1,1,1,1,1,1,1,1,1,0.2711442786069651,0.2736318407960199,0.2935323383084577,0.2611940298507462,0.2985074626865671,0.2885572139303483,-0.238800132014815,0.7885572139303483,0.4203980099502487,0.4203980099502487
2024_11_01,1978,1,2,1,1,1,1,1,1,1,1,1,0.3734643734643734,0.3759213759213759,0.2923832923832923,0.253071253071253,0.2874692874692874,0.2800982800982801,-0.2358794263974247,0.8034398034398035,0.4176904176904177,0.4176904176904177
2024_11_01,1980,1,2,1,1,1,1,1,1,1,1,2,0.2375296912114014,0.2731591448931116,0.3040380047505938,0.2612826603325415,0.2992874109263658,0.2874109263657957,-0.2446434475917556,0.7814726840855107,0.4418052256532066,0.4418052256532066
2024_11_01,1981,1,2,1,1,2,1,1,1,1,1,1,0.4418052256532066,0.2992874109263658,0.3087885985748218,-0.2232779097387173,0.3277909738717339,0.3182897862232779,-0.2470308788598575,0.8028503562945368,0.4513064133016627,0.4489311163895487
2024_11_01,1982,1,1,1,1,1,1,1,1,1,2,2,0.2841163310961969,0.2863534675615212,0.3042505592841163,0.2774049217002237,0.3131991051454139,0.2953020134228188,-0.217032151340346,0.7874720357941835,-0.0738356803529012,0.4272930648769575
2024_11_01,1983,1,2,1,1,1,1,1,1,1,1,1,0.2563510392609699,0.277136258660508,0.3048498845265588,0.2748267898383372,0.302540415704388,0.2979214780600462,-0.2470953308796996,0.76905311778291,0.4457274826789838,0.4457274826789838
2024_11_01,1984,1,2,1,1,1,1,1,1,1,2,1,0.2367149758454106,0.251207729468599,0.2729468599033816,0.2391304347826087,0.2753623188405797,0.2632850241545894,-0.2849940176410028,0.7318840579710145,-0.0724561061799159,0.4541062801932367
2024_11_01,1987,1,3,1,1,2,1,1,1,1,1,1,0.3031784841075794,-0.2934073895194398,0.3031784841075794,-0.2176104805602511,0.2909535452322738,0.2591687041564792,-0.2616215889881672,0.7579462102689487,0.4596577017114914,0.4621026894865526
2024_11_01,1991,1,3,1,1,2,1,1,1,1,1,2,0.2287104622871046,0.3746958637469586,0.3114355231143552,-0.182483917677499,0.2846715328467153,0.2627737226277372,-0.245745009139032,0.754257907542579,0.4647201946472019,0.4647201946472019
